"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ROCK1P1",6.81664043770036,-1.80061985765683,0.491932896314195,-3.66029568493583,0.000251924366378217,0.00105434761098506
"RNASE2",26.155621927805,1.0163259971046,0.278550156403982,3.64862834839201,0.000263644179934924,0.00109777505547052
"SAV1",5.290104029358,1.25980282512312,0.346681022810191,3.63389612419847,0.000279173295136217,0.00115561816944283
"IGLV3-1",16.0234139087238,-1.08405735373276,0.298506969325046,-3.63159813716886,0.000281671504666694,0.00116471729772563
"SEMA6B",11.8495338143654,-1.13688500372003,0.315273862637729,-3.60602364626207,0.000310924816782089,0.00127078958414727
"TDRD6",5.66260195377429,1.17012267708811,0.328696902683269,3.5598834900359,0.000371019365858769,0.00148092999837766
"IGHA1",344.502839925064,-1.19747318344076,0.336489757353233,-3.55872105249167,0.000372665068426423,0.00148558934979642
"MTND1P23",35.5564187514603,1.30320769543038,0.367145097663199,3.54957128319299,0.000385858982597736,0.00153125673693906
"OR7E100P",7.1935123862141,1.01403415407181,0.28676188861715,3.53615384164815,0.000405998188885277,0.00160323852462403
"FAAHP1",4.91720914206872,-1.05911712709917,0.299529045400522,-3.53594131641873,0.000406324943153606,0.00160412087270431
"POLR2K",10.3844035952487,1.02773066504748,0.291113352537083,3.5303453314343,0.000415017589399844,0.00163428306127603
"GSG1L",27.1809662009616,1.10624511252014,0.313644689918576,3.52706469478993,0.000420194078411259,0.00165048152175351
"RPS3A",586.232468469995,1.10098279778762,0.314534878646332,3.50035201986482,0.000464644133133444,0.00180093096733974
"ZFP91-CNTF",15.8195592145995,-1.32162297742247,0.377563352342741,-3.50040057972241,0.00046455948999719,0.00180093096733974
"BNIP3P24",3.5595850435625,1.19625100665988,0.343840779543581,3.47908415123941,0.000503130568238144,0.00192986865934626
"ZNF107",15.6293629216922,1.05513377215858,0.305795138308181,3.45045960506807,0.000559632911240185,0.00211782115837835
"ZNF75BP",3.20048682577881,1.14603131128863,0.332744421014116,3.44417889200316,0.00057279657560573,0.00216236626049846
"B4GALT1",4.1870378567438,-1.37956909562689,0.400661001943501,-3.44323278016817,0.000574804326004079,0.00216836413262035
"UBE2FP3",3.83944273917754,1.01244908599077,0.295050366115002,3.4314449404755,0.000600374990795399,0.00224898009217857
"TRIM74",5.74538855759242,-1.7288265731726,0.510598870812367,-3.38588013409042,0.000709503672161113,0.00260436489778856
"KNDC1",10.2371931071859,-1.14635432630977,0.338737138418908,-3.38420030251333,0.000713859044279558,0.00261911374776198
"FBXL15",5.73357270070746,-1.35901175236599,0.402285657658536,-3.37822571223638,0.000729551722761405,0.00266975008232768
